Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1008030337333510145.txt,1,21,96.66,68.29,1.00,25.77,21.00,33.33,28.57,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,38.10,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81
1022489222811250693.txt,1,11,57.84,81.84,1.00,99.00,5.50,18.18,72.73,36.36,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,18.18,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,18.18
1027973309126909953.txt,1,25,98.05,34.44,43.37,25.77,12.50,24.00,48.00,32.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,16.00,8.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,16.00,0.00,12.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,32.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,12.00
1028191654090440704.txt,1,28,58.73,76.25,30.01,25.77,28.00,14.29,67.86,39.29,7.14,3.57,3.57,0.00,0.00,0.00,0.00,3.57,0.00,10.71,14.29,3.57,3.57,0.00,17.86,3.57,0.00,7.14,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,0.00,3.57,3.57,3.57,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,3.57,14.29,3.57,7.14,3.57,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14
1028239490182275072.txt,1,25,88.69,50.00,69.14,91.14,25.00,20.00,60.00,28.00,8.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,12.00,0.00,0.00,8.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.00,8.00,0.00,4.00,0.00,0.00,4.00,0.00,20.00,4.00,8.00,8.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,24.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00
1028287665974665217.txt,1,30,98.58,74.76,10.08,25.77,15.00,10.00,73.33,43.33,10.00,6.67,6.67,0.00,0.00,0.00,0.00,3.33,10.00,16.67,3.33,0.00,3.33,0.00,13.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,10.00,3.33,0.00,3.33,3.33,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,10.00,0.00,6.67,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,20.00,10.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67
1028869353213779969.txt,1,27,99.00,86.68,1.00,25.77,13.50,18.52,51.85,29.63,3.70,3.70,0.00,0.00,0.00,3.70,0.00,0.00,7.41,14.81,0.00,0.00,3.70,0.00,3.70,3.70,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,3.70,3.70,0.00,7.41,0.00,3.70,3.70,0.00,3.70,0.00,0.00,0.00,3.70,3.70,0.00,3.70,0.00,0.00,0.00,18.52,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1029089960933171200.txt,1,14,97.73,50.00,13.15,99.00,14.00,28.57,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,35.71,7.14,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29
1029926009959641088.txt,1,20,93.26,97.69,1.00,25.77,10.00,20.00,50.00,30.00,15.00,10.00,0.00,5.00,0.00,5.00,0.00,5.00,5.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,50.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
1029935067718737920.txt,1,25,88.69,21.18,43.37,25.77,12.50,20.00,60.00,36.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,8.00,4.00,0.00,4.00,8.00,12.00,0.00,0.00,0.00,0.00,8.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,4.00,16.00,0.00,12.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,0.00,4.00,0.00,32.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,12.00
