Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
conv_text10.txt,1,3509,90.25,60.02,2.92,35.74,39.88,20.18,43.12,22.37,4.65,2.48,0.80,0.26,0.94,0.14,0.34,2.17,3.33,7.21,4.22,1.62,2.05,0.80,7.61,2.31,0.97,0.71,1.54,0.85,2.79,1.68,1.11,0.09,0.40,0.31,4.27,0.20,0.14,0.23,0.14,4.30,0.85,0.34,0.88,1.00,0.77,1.17,1.05,0.48,0.26,0.26,0.91,0.17,0.37,0.06,0.34,3.65,1.17,0.46,1.88,0.40,0.06,1.25,4.84,0.94,7.84,0.91,4.08,2.91,2.11,0.77,0.31,0.77,0.17,0.14,4.73,0.17,4.39,0.11,0.03,0.03,29.44,9.52,1.94,0.37,0.23,0.40,0.46,0.66,0.54,1.23,0.40,13.71
conv_text20.txt,1,3775,89.25,64.38,2.98,37.00,37.75,18.75,44.82,24.26,5.70,3.47,1.03,1.09,0.69,0.37,0.29,2.23,3.13,7.87,4.37,1.67,2.09,0.74,7.76,1.96,1.11,0.72,1.67,1.01,2.60,1.59,0.95,0.16,0.21,0.21,5.06,0.16,0.19,0.19,0.50,4.56,0.66,0.82,0.61,1.01,0.72,1.27,0.85,0.34,0.26,0.16,0.93,0.13,0.48,0.05,0.32,5.43,2.17,0.98,1.83,0.66,0.48,1.11,5.96,0.61,7.71,1.01,3.92,2.91,1.70,0.61,0.48,0.72,0.13,0.16,4.56,0.11,4.40,0.00,0.13,0.00,27.36,9.62,1.80,0.37,0.19,0.56,0.77,0.74,0.45,0.82,0.19,11.87
conv_text30.txt,1,3632,89.32,63.89,1.53,39.03,42.73,19.27,38.35,20.13,4.63,3.03,1.02,0.80,0.83,0.19,0.19,1.60,2.59,6.33,3.41,1.73,2.01,0.66,6.31,1.65,0.88,0.58,1.54,0.58,2.86,1.79,1.05,0.06,0.25,0.30,4.74,0.22,0.14,0.25,0.52,3.80,0.83,0.63,0.63,0.77,0.58,0.99,0.77,0.36,0.22,0.14,0.94,0.17,0.41,0.03,0.36,4.32,1.73,0.52,1.65,0.44,0.28,1.10,4.46,0.55,5.89,0.61,2.95,2.42,1.60,0.55,0.33,0.30,0.28,0.14,4.54,0.14,4.27,0.06,0.14,0.03,27.84,9.00,1.82,0.52,0.28,0.39,0.52,0.69,0.33,1.05,0.36,12.89
conv_text40.txt,1,4500,92.15,59.75,1.26,29.87,48.39,20.18,36.71,18.73,3.69,1.91,0.62,0.76,0.27,0.13,0.13,1.78,2.44,6.98,3.38,1.31,1.71,0.47,6.00,1.71,1.00,0.67,1.69,0.53,1.98,1.11,0.87,0.09,0.20,0.20,3.22,0.22,0.07,0.04,0.22,3.29,0.47,0.78,0.67,0.76,0.62,0.67,0.78,0.38,0.24,0.13,1.00,0.20,0.49,0.04,0.36,4.51,1.31,0.80,2.00,0.22,0.44,0.91,4.20,0.69,6.51,0.67,3.16,2.73,1.73,0.49,0.40,0.44,0.20,0.11,4.49,0.02,4.40,0.11,0.07,0.00,27.82,9.02,1.78,0.31,0.24,0.27,0.40,0.62,0.31,0.87,0.16,13.84
conv_text50.txt,1,4989,94.46,59.18,1.98,31.58,47.97,20.57,37.52,18.92,3.09,1.72,0.72,0.34,0.36,0.10,0.20,1.36,3.53,7.04,2.49,1.16,1.94,0.48,4.95,1.66,0.72,0.40,1.86,0.86,2.14,1.22,0.88,0.08,0.22,0.18,3.59,0.10,0.14,0.18,0.26,3.29,0.86,0.50,0.48,0.64,0.38,0.76,1.02,0.46,0.40,0.14,0.98,0.18,0.48,0.06,0.32,3.39,0.98,0.46,1.42,0.52,0.28,0.66,4.03,0.54,6.88,0.58,3.95,2.47,1.50,0.56,0.20,0.56,0.32,0.10,4.17,0.00,4.13,0.02,0.00,0.02,27.92,8.84,1.44,0.50,0.20,0.16,0.24,1.08,0.26,0.88,0.28,14.03
conv_text60.txt,1,11820,88.39,61.04,2.73,35.84,35.18,23.13,36.95,21.90,3.07,1.85,0.41,0.78,0.36,0.22,0.08,1.22,2.37,7.92,6.18,1.24,3.60,0.42,8.74,1.62,0.79,0.39,3.20,0.94,1.62,1.10,0.52,0.05,0.16,0.12,3.27,0.10,0.06,0.11,0.31,5.35,0.58,0.51,0.36,3.02,0.59,0.69,0.64,0.18,0.36,0.08,0.71,0.08,0.47,0.03,0.13,3.46,1.23,0.43,1.34,0.56,0.29,1.18,4.31,3.18,8.32,0.83,3.41,4.26,0.96,0.26,0.25,0.44,0.33,0.08,3.34,0.07,3.17,0.13,0.02,0.01,28.87,8.43,1.61,1.36,0.24,0.19,0.69,0.77,0.52,0.58,0.18,14.31
text_10.txt,1,3509,90.25,60.02,2.92,35.74,39.88,20.18,43.12,22.37,4.65,2.48,0.80,0.26,0.94,0.14,0.34,2.17,3.33,7.21,4.22,1.62,2.05,0.80,7.61,2.31,0.97,0.71,1.54,0.85,2.79,1.68,1.11,0.09,0.40,0.31,4.27,0.20,0.14,0.23,0.14,4.30,0.85,0.34,0.88,1.00,0.77,1.17,1.05,0.48,0.26,0.26,0.91,0.17,0.37,0.06,0.34,3.65,1.17,0.46,1.88,0.40,0.06,1.25,4.84,0.94,7.84,0.91,4.08,2.91,2.11,0.77,0.31,0.77,0.17,0.14,4.73,0.17,4.39,0.11,0.03,0.03,29.44,9.52,1.94,0.37,0.23,0.40,0.46,0.66,0.54,1.23,0.40,13.71
text_20.txt,1,3509,90.25,60.02,2.92,35.74,39.88,20.18,43.12,22.37,4.65,2.48,0.80,0.26,0.94,0.14,0.34,2.17,3.33,7.21,4.22,1.62,2.05,0.80,7.61,2.31,0.97,0.71,1.54,0.85,2.79,1.68,1.11,0.09,0.40,0.31,4.27,0.20,0.14,0.23,0.14,4.30,0.85,0.34,0.88,1.00,0.77,1.17,1.05,0.48,0.26,0.26,0.91,0.17,0.37,0.06,0.34,3.65,1.17,0.46,1.88,0.40,0.06,1.25,4.84,0.94,7.84,0.91,4.08,2.91,2.11,0.77,0.31,0.77,0.17,0.14,4.73,0.17,4.39,0.11,0.03,0.03,29.44,9.52,1.94,0.37,0.23,0.40,0.46,0.66,0.54,1.23,0.40,13.71
text_30.txt,1,3509,90.25,60.02,2.92,35.74,39.88,20.18,43.12,22.37,4.65,2.48,0.80,0.26,0.94,0.14,0.34,2.17,3.33,7.21,4.22,1.62,2.05,0.80,7.61,2.31,0.97,0.71,1.54,0.85,2.79,1.68,1.11,0.09,0.40,0.31,4.27,0.20,0.14,0.23,0.14,4.30,0.85,0.34,0.88,1.00,0.77,1.17,1.05,0.48,0.26,0.26,0.91,0.17,0.37,0.06,0.34,3.65,1.17,0.46,1.88,0.40,0.06,1.25,4.84,0.94,7.84,0.91,4.08,2.91,2.11,0.77,0.31,0.77,0.17,0.14,4.73,0.17,4.39,0.11,0.03,0.03,29.44,9.52,1.94,0.37,0.23,0.40,0.46,0.66,0.54,1.23,0.40,13.71
text_40.txt,1,3509,90.25,60.02,2.92,35.74,39.88,20.18,43.12,22.37,4.65,2.48,0.80,0.26,0.94,0.14,0.34,2.17,3.33,7.21,4.22,1.62,2.05,0.80,7.61,2.31,0.97,0.71,1.54,0.85,2.79,1.68,1.11,0.09,0.40,0.31,4.27,0.20,0.14,0.23,0.14,4.30,0.85,0.34,0.88,1.00,0.77,1.17,1.05,0.48,0.26,0.26,0.91,0.17,0.37,0.06,0.34,3.65,1.17,0.46,1.88,0.40,0.06,1.25,4.84,0.94,7.84,0.91,4.08,2.91,2.11,0.77,0.31,0.77,0.17,0.14,4.73,0.17,4.39,0.11,0.03,0.03,29.44,9.52,1.94,0.37,0.23,0.40,0.46,0.66,0.54,1.23,0.40,13.71
